TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,TransactionDay,TransactionGap,AgeGroup,Target
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,16.0,0.0,398.0,Muda,0
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,16.0,1.0,537.0,Lansia,2
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,16.0,1.0,362.0,ParuhBaya,0
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,17.0,1.0,523.0,Lansia,1
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,16.0,3.0,366.99999999999994,ParuhBaya,2
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,17.0,2.0,585.0,Dewasa,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,16.0,1.0,558.0,Lansia,0
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,18.0,1.0,565.0,Muda,2
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,16.0,3.0,633.0,Lansia,2
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,16.0,1.0,474.0,ParuhBaya,2
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,17.0,4.0,660.0,Dewasa,2
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,18.0,1.0,488.0,Lansia,2
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,16.0,4.0,380.0,Muda,0
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,16.0,0.0,601.0,ParuhBaya,0
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,18.0,0.0,321.0,Muda,0
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,18.0,0.0,475.0,ParuhBaya,1
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,18.0,0.0,503.00000000000006,Dewasa,2
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,16.0,0.0,363.0,ParuhBaya,2
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,16.0,0.0,489.0,Dewasa,1
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,17.0,4.0,380.0,Lansia,0
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,18.0,3.0,499.99999999999994,Lansia,1
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,16.0,0.0,349.0,Muda,0
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,16.0,3.0,416.0,Lansia,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,16.0,0.0,398.0,ParuhBaya,0
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,18.0,0.0,587.0,Muda,0
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,16.0,3.0,612.0,Muda,1
508.67999999999995,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,16.0,0.0,496.0,ParuhBaya,0
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,17.0,1.0,565.0,Muda,1
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,17.0,0.0,475.0,Lansia,0
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,17.0,4.0,429.0,Lansia,2
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,16.0,0.0,419.0,Dewasa,1
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,17.0,1.0,649.0,Muda,0
98.54,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,16.0,4.0,450.0,Muda,2
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,16.0,4.0,618.0,Muda,1
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,16.0,0.0,671.0,Muda,0
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,16.0,3.0,339.0,ParuhBaya,2
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,16.0,2.0,368.00000000000006,Lansia,1
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,16.0,0.0,608.0,Muda,1
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,18.0,0.0,342.0,Muda,0
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,16.0,0.0,461.0,Lansia,1
254.37000000000003,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,18.0,3.0,563.0,ParuhBaya,2
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,17.0,2.0,613.0,Lansia,2
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,16.0,4.0,632.0,Dewasa,0
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,16.0,4.0,471.0,ParuhBaya,1
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,17.0,0.0,391.00000000000006,Lansia,2
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,16.0,0.0,307.0,ParuhBaya,1
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,17.0,0.0,531.0,Dewasa,0
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,16.0,2.0,445.0,Lansia,0
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,16.0,4.0,352.0,ParuhBaya,2
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,17.0,4.0,436.00000000000006,Dewasa,1
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,16.0,0.0,342.0,Lansia,1
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,17.0,4.0,457.00000000000006,Lansia,2
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,16.0,0.0,426.0,Lansia,1
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,17.0,2.0,452.0,Muda,1
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,16.0,3.0,423.0,Muda,0
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,17.0,0.0,489.0,Muda,1
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,17.0,0.0,405.0,Lansia,1
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,17.0,0.0,349.0,ParuhBaya,0
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,17.0,4.0,352.0,Muda,0
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,16.0,0.0,440.0,Lansia,2
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,16.0,0.0,384.0,ParuhBaya,0
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,17.0,1.0,502.00000000000006,Muda,1
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,16.0,0.0,657.0,Muda,1
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,16.0,4.0,429.0,Muda,2
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,18.0,0.0,377.0,Muda,2
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,17.0,0.0,489.0,Muda,2
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,16.0,1.0,376.0,Lansia,1
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,17.0,3.0,626.0,Muda,0
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,16.0,4.0,464.0,Lansia,0
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,17.0,0.0,636.0,ParuhBaya,1
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,18.0,0.0,468.0,Lansia,1
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,16.0,0.0,349.0,Dewasa,2
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,16.0,0.0,391.00000000000006,Muda,1
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,16.0,4.0,365.99999999999994,Lansia,1
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,16.0,2.0,627.0,Dewasa,1
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,17.0,0.0,426.0,Dewasa,1
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,16.0,3.0,465.0,Muda,1
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,16.0,0.0,566.0,Lansia,0
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,17.0,1.0,410.99999999999994,Muda,2
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,16.0,2.0,522.0,Lansia,1
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,17.0,0.0,391.00000000000006,ParuhBaya,0
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,16.0,0.0,664.0,Muda,2
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,18.0,4.0,527.0,Lansia,1
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,17.0,0.0,447.0,Lansia,0
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,18.0,1.0,642.0,Dewasa,0
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,16.0,1.0,628.0,Lansia,2
506.28,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.95,17.0,1.0,551.0,ParuhBaya,2
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,17.0,0.0,335.0,Muda,0
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,17.0,1.0,537.0,Muda,2
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,16.0,0.0,594.0,Muda,0
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,18.0,4.0,436.00000000000006,Lansia,0
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,17.0,0.0,538.0,Lansia,2
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,16.0,0.0,524.0,Muda,2
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,16.0,2.0,592.0,Muda,2
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,16.0,4.0,534.0,Muda,1
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,16.0,0.0,531.0,Muda,2
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,16.0,0.0,321.0,Lansia,1
34.17,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,16.0,1.0,348.0,ParuhBaya,1
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,17.0,2.0,473.0,Dewasa,1
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,16.0,2.0,564.0,Lansia,2
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,16.0,0.0,356.0,Lansia,0
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,16.0,4.0,576.0,Muda,1
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,16.0,1.0,670.0,Lansia,0
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,16.0,0.0,643.0,Lansia,1
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,16.0,3.0,612.0,Lansia,0
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,17.0,0.0,377.0,Lansia,1
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,16.0,2.0,669.0,Dewasa,0
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,16.0,0.0,419.0,ParuhBaya,0
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,17.0,4.0,646.0,Muda,1
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,17.0,0.0,489.0,ParuhBaya,0
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,16.0,0.0,587.0,ParuhBaya,0
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,17.0,0.0,468.0,Lansia,1
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,16.0,0.0,461.0,ParuhBaya,2
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,17.0,0.0,510.0,Muda,0
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,16.0,3.0,339.0,ParuhBaya,2
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,18.0,2.0,354.0,Lansia,1
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,16.0,3.0,528.0,Lansia,0
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,16.0,3.0,437.00000000000006,Lansia,2
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,16.0,3.0,549.0,Muda,1
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,17.0,0.0,636.0,ParuhBaya,0
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,18.0,4.0,625.0,ParuhBaya,0
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,16.0,4.0,618.0,Lansia,1
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,16.0,3.0,332.0,Lansia,0
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,18.0,0.0,594.0,ParuhBaya,0
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,16.0,2.0,529.0,Muda,2
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,18.0,4.0,485.0,Muda,0
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,17.0,4.0,667.0,Lansia,1
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,16.0,3.0,381.0,ParuhBaya,2
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,16.0,1.0,341.0,Lansia,0
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,17.0,0.0,482.0,Lansia,2
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,18.0,0.0,496.0,Muda,1
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,16.0,4.0,660.0,Lansia,2
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,16.0,1.0,320.0,Lansia,0
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,16.0,3.0,402.0,Dewasa,1
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,16.0,0.0,664.0,Muda,2
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,16.0,1.0,362.0,ParuhBaya,0
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,18.0,2.0,340.0,Muda,2
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,16.0,3.0,366.99999999999994,ParuhBaya,1
705.6,Debit,Phoenix,Branch,40.0,Doctor,123.99999999999999,3.0,14804.7,18.0,0.0,622.0,Dewasa,1
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,18.0,0.0,377.0,ParuhBaya,2
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,16.0,0.0,650.0,ParuhBaya,0
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,18.0,0.0,356.0,Dewasa,1
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,17.0,1.0,410.99999999999994,Lansia,0
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,16.0,0.0,342.0,ParuhBaya,0
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,16.0,1.0,656.0,ParuhBaya,0
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,16.0,3.0,549.0,Muda,0
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,17.0,0.0,636.0,Muda,1
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,17.0,0.0,377.0,Muda,0
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,16.0,0.0,461.0,Lansia,0
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,16.0,0.0,307.0,Lansia,0
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,17.0,0.0,622.0,Lansia,2
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,17.0,0.0,363.0,Muda,1
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,16.0,3.0,381.0,Muda,0
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45000000000005,16.0,1.0,418.0,ParuhBaya,1
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,16.0,0.0,664.0,ParuhBaya,2
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,18.0,0.0,426.0,Lansia,1
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,16.0,4.0,317.0,Lansia,1
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,16.0,2.0,430.99999999999994,Muda,1
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,16.0,0.0,314.0,Muda,2
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,16.0,0.0,545.0,Dewasa,0
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,17.0,0.0,629.0,Muda,1
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,16.0,2.0,424.0,Lansia,0
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,18.0,4.0,527.0,ParuhBaya,1
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,17.0,0.0,412.00000000000006,Muda,2
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,18.0,0.0,447.0,Lansia,0
47.38,Credit,Seattle,Online,25.0,Student,61.00000000000001,1.0,459.37,18.0,2.0,634.0,Muda,1
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,16.0,2.0,473.0,Lansia,1
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,16.0,0.0,461.0,ParuhBaya,0
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,18.0,2.0,578.0,ParuhBaya,0
66.9,Credit,Charlotte,Online,79.0,Retired,129.0,4.0,5238.71,16.0,0.0,566.0,Lansia,2
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,16.0,4.0,485.0,ParuhBaya,0
270.72,Credit,Washington,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,18.0,0.0,489.0,Muda,1
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,16.0,0.0,636.0,Lansia,2
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,16.0,4.0,436.00000000000006,Lansia,1
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,16.0,3.0,521.0,Dewasa,1
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,18.0,1.0,586.0,Muda,2
